KMBA	#	Italian	English (Mandelbaum)
শক্ত পা-টা প্রতি পদক্ষেপে নিচে রেখে।		 sì che ’l piè fermo sempre era ’l più basso.	my firm foot always was the one below.
			
কিন্তু পাহাড় যেখান থেকে খুব খাড়া	31	 Ed ecco, quasi al cominciar de l’erta,	And almost where the hillside starts to rise—
সেখানেই এক কৃশ ক্ষিপ্র চিতাবাঘ—		 una lonza leggera e presta molto,	look there!—a leopard, very quick and lithe,
সারা গায়ে চামড়ায় ছোপ ছোপ দাগ—		 che di pel macolato era coverta;	a leopard covered with a spotted hide.
			
আমার পথ আগলে দাঁড়ায়, সামনে	34	 e non mi si partia dinanzi al volto,	He did not disappear from sight, but stayed;
থেকে এক চুল নড়ে না, বিপত্তি বুঝে		 anzi ’mpediva tanto il mio cammino,	indeed, he so impeded my ascent
আমি বহুবার পিছু হটতে বাধ্য হই।		 ch’i’ fui per ritornar più volte vòlto.	that I had often to turn back again.
			
তবে সময়টা ছিল সকাল, যখন	37	 Temp’ era dal principio del mattino,	The time was the beginning of the morning;
সূর্য উঠে, সাথে জাগে সব ফর্সা তারা		 e ’l sol montava ’n sù con quelle stelle	the sun was rising now in fellowship
যারা সে-দিনেও তার সাথে জ্বলছিল		 ch’eran con lui quando l’amor divino	with the same stars that had escorted it
			
যে-দিন খোদার প্রেম তাদের সচল	40	 mosse di prima quelle cose belle;	when Divine Love first moved those things of beauty;
করে। এদের দেখে অদ্ভুত রোমের		 sì ch’a bene sperar m’era cagione	so that the hour and the gentle season
জন্তুর সামনেও আমি শুভ আশা করি,		 di quella fiera a la gaetta pelle	gave me good cause for hopefulness on seeing
			
মিষ্টি ঋতু আর মন্দ প্রহরে জিরাই;	43	 l’ora del tempo e la dolce stagione;	that beast before me with his speckled skin;
কিন্তু আবার ভয়ের বর্শা বিদ্ধ করে		 ma non sì che paura non mi desse	but hope was hardly able to prevent
যখন রাস্তায় দেখি এক হিংস্র সিংহ।		 la vista che m’apparve d’un leone.	the fear I felt when I beheld a lion.
			
মনে হচ্ছিল এই হামলায়ে পড়বে,	46	 Questi parea che contra me venisse	His head held high and ravenous with hunger—
মাথা উঁচু করা, খিদার জ্বালায় ক্ষিপ্ত,		 con la test’ alta e con rabbiosa fame,	even the air around him seemed to shudder—
চারপাশের বাতাস তাতে কাঁপতেছিল।		 sì che parea che l’aere ne tremesse.	this lion seemed to make his way against me.
			
তার পর আসে এক অস্থিচর্মসার	49	 Ed una lupa, che di tutte brame	And then a she—wolf showed herself; she seemed
মাদি নেকড়ে, তাবৎ তৃষ্ণার ভাণ্ডার—		 sembiava carca ne la sua magrezza,	to carry every craving in her leanness;
ইতিমধ্যে অনেককে করছে বিপন্ন;		 e molte genti fé già viver grame,	she had already brought despair to many.
			
আতঙ্কে আমার চিত্ত এত ভেঙে পড়ে,	52	 questa mi porse tanto di gravezza	The very sight of her so weighted me
এমন উথলে উঠে অন্তস্তল থেকে,		 con la paura ch’uscia di sua vista,	with fearfulness that I abandoned hope
যে উঠার আশা ছেড়ে দেই চিরতরে।		 ch’io perdei la speranza de l’altezza.	of ever climbing up that mountain slope.
			
যে আনন্দে থাকে নিজ অর্জনের গর্বে,	55	 E qual è quei che volontieri acquista,	Even as he who glories while he gains
অথচ ক্ষতির ক্ষণ উপস্থিত হলে		 e giugne ’l tempo che perder lo face,	will, when the time has come to tally loss,
জান প্রাণ দিয়া করে বিষাদবিলাপ,		 che ’n tutti suoi pensier piange e s’attrista;	lament with every thought and turn despondent,
			
আমাকে অশান্ত জন্তু তার মতো করে—	58	 tal mi fece la bestia sanza pace,	so was I when I faced that restless beast
এক পা দুই পা করে তাড়াতে তাড়াতে		 che, venendomi ’ncontro, a poco a poco	which, even as she stalked me, step by step
নামায়ে আনে যেখানে সূর্যও নির্বাক।		 mi ripigneva là dove ’l sol tace.	had thrust me back to where the sun is speechless.
			
যখন পালাচ্ছিলাম পাহাড়ের পায়ে,	61	 Mentre ch’i’ rovinava in basso loco,	While I retreated down to lower ground,
চোখের সামনে ভেসে উঠে এক মূর্তি—		 dinanzi a li occhi mi si fu offerto	before my eyes there suddenly appeared
বিস্তীর্ণ নীরবতার মধ্যে খুব ক্ষীণ।		 chi per lungo silenzio parea fioco.	one who seemed faint because of the long silence.
			
সেই বিশাল বিরানে তাকে দেখামাত্র	64	 Quando vidi costui nel gran diserto,	When I saw him in that vast wilderness,
“আমাকে করুণা করো, তুমি যাই হও,		 «Miserere di me», gridai a lui,	“Have pity on me,” were the words I cried,
মায়া বা মানুষ,” বলে চিৎকার করি!		 «qual che tu sii, od ombra od omo certo!».	“whatever you may be—a shade, a man.”
			
সে বলে, “মানুষ না—ছিলাম এককালে।	67	 Rispuosemi: «Non omo, omo già fui,	He answered me: “Not man; I once was man.
আমার বাবা মা লোম্বার্দির নাগরিক		 e li parenti miei furon lombardi,	Both of my parents came from Lombardy,
তবে তাদের দেশের বাড়ি মান্তুয়াতে।		 mantoani per patrïa ambedui.	and both claimed Mantua as native city.
			
জুলিয়াসের আমলে জন্মাই দেরিতে,	70	 Nacqui sub Iulio, ancor che fosse tardi,	And I was born, though late, sub Julio,
রোমে থাকতাম অগাস্টাসের সময়		 e vissi a Roma sotto ’l buono Augusto	and lived in Rome under the good Augustus—
মিথ্যা মিথ্যুক দেবতাদের অনুগ্রহে।		 nel tempo de li dèi falsi e bugiardi.	the season of the false and lying gods.
			
আমি কবি, গেয়েছিলাম আন্‌খিসেসের	73	 Poeta fui, e cantai di quel giusto	I was a poet, and I sang the righteous
সুপুত্রের গান, যে সুদূর ট্রয় থেকে		 figliuol d’Anchise che venne di Troia,	son of Anchises who had come from Troy
এসেছিল দর্পী ইলিয়ন পোড়ার পরে।		 poi che ’l superbo Ilión fu combusto.	when flames destroyed the pride of Ilium.
			
কিন্তু তুমি, তুমি কেন ফিরে যাচ্ছ দুঃখে?	76	 Ma tu perché ritorni a tanta noia?	But why do you return to wretchedness?
কেন উঠছ না সেই সুখের শিখরে		 perché non sali il dilettoso monte	Why not climb up the mountain of delight,
যা সকল আনন্দের উৎস ও কারণ?”		 ch’è principio e cagion di tutta gioia?».	the origin and cause of every joy?”
			
“তবে আপনি ভার্জিল, সেই উৎসমুখ	79	 «Or se’ tu quel Virgilio e quella fonte	“And are you then that Virgil, you the fountain
যার মেঘনাদ নদে আনে বাক্যবান?”		 che spandi di parlar sì largo fiume?»,	that freely pours so rich a stream of speech?”
বলছিলাম লজ্জায় মাথা নত করে।		 rispuos’ io lui con vergognosa fronte.	I answered him with shame upon my brow.
			
“আপনি সব কবির আলো আর গর্ব,	82	 «O de li altri poeti onore e lume	“O light and honor of all other poets,
যে-সময় আর প্রেম নিয়ে আপনাকে		 vagliami ’l lungo studio e ’l grande amore	may my long study and the intense love
পাঠ করছি এখন তা কাজে লাগুক।		 che m’ha fatto cercar lo tuo volume.	that made me search your volume serve me now.
			
আপনি আমার গুরু, আমার লেখক।	85	 Tu se’ lo mio maestro e ’l mio autore;	You are my master and my author, you—
আপনার কাছ থেকে নিছি সেই শৈলী		 tu se’ solo colui da cu’ io tolsi	the only one from whom my writing drew
যার কারণে আমার এমন সম্মান।		 lo bello stilo che m’ha fatto onore.	the noble style for which I have been honored.
			
আমাকে বাঁচান এর থেকে, নামী ঋষি—	88	 Vedi la bestia per cu’ io mi volsi:	You see the beast that made me turn aside;
এ-জন্তুর ভয়ে পিছু হটছি, দেখেন;		 aiutami da lei, famoso saggio,	help me, o famous sage, to stand against her,
প্রতিটা ধমনি শিরা ভয়ে বিকম্পিত।”		 ch’ella mi fa tremar le vene e i polsi».	for she has made my blood and pulses shudder,”
			
“তোমাকে অন্য আরেক পথ নিতে হবে,”	91	 «A te convien tenere altro vïaggio»,	“It is another path that you must take,”
আমার অশ্রু দেখে তিনি উত্তর দেন,		 rispuose poi che lagrimar mi vide,	he answered when he saw my tearfulness,
“যদি বন্য বর্বরতা থেকে মুক্তি চাও।		 «se vuo’ campar d’esto loco selvaggio;	“if you would leave this savage wilderness;
			
যে-জানোয়ার তোমার কান্নার কারণ	94	 ché questa bestia, per la qual tu gride,	the beast that is the cause of your outcry
সে কাউকে তার মাটি মাড়াতে দেয় না,		 non lascia altrui passar per la sua via,	allows no man to pass along her track,
আমরণ বাধ দিয়ে তাড়িয়ে বেড়ায়।		 ma tanto lo ’mpedisce che l’uccide;	but blocks him even to the point of death;
			
তার প্রকৃতি এমন জঘন্য অশুভ	97	 e ha natura sì malvagia e ria,	her nature is so squalid, so malicious
যে কখনো ক্ষুধা তৃষ্ণা নিবৃত্ত হয় না—		 che mai non empie la bramosa voglia,	that she can never sate her greedy will;
পিপাসা পানের পর আরো বেড়ে যায়।		 e dopo ’l pasto ha più fame che pria.	when she has fed, she’s hungrier than ever.
			
অনেক প্রাণীর সাথে মিলিত হয়েছে,	100	 Molti son li animali a cui s’ammoglia,	She mates with many living souls and shall
অনেকের সাথে হবে, যদ্দিন না সেই		 e più saranno ancora, infin che ’l veltro	yet mate with many more, until the Greyhound
শিকারী কুকুর তাকে দেয় কষ্টমৃত্যু।		 verrà, che la farà morir con doglia.	arrives, inflicting painful death on her.
			
জমিজমা সোনারুপা কিচ্ছু না, বরং	103	 Questi non ciberà terra né peltro,	That Hound will never feed on land or pewter,
প্রজ্ঞা প্রেম ও প্রভাব হবে তার হব্য,		 ma sapïenza, amore e virtute,	but find his fare in wisdom, love, and virtue;
দুই ফেল্টের মাঝে জন্ম গ্রহণ করে		 e sua nazion sarà tra feltro e feltro.	his place of birth shall be between two felts.
			
সে উদ্ধার করবে নিম্নশায়ী ইতালি,	106	 Di quella umile Italia fia salute	He will restore low-lying Italy for which
যার জন্য প্রাণ দিয়েছেন সুকুমারী		 per cui morì la vergine Cammilla,	the maid Camilla died of wounds,
কামিল্লা, তুর্নুস, ইউরিয়ালুস-নিসুস।		 Eurialo e Turno e Niso di ferute.	and Nisus, Turnus, and Euryalus.
			
প্রত্যেক নগর থেকে নেকড়ে তাড়িয়ে	109	 Questi la caccerà per ogne villa,	And he will hunt that beast through every city
সে ফের সেই নরকে পাঠাবে যেখান		 fin che l’avrà rimessa ne lo ’nferno,	until he thrusts her back again to Hell,
থেকে আদিহিংসা তাকে ছেড়েছিল আগে।		 là onde ’nvidia prima dipartilla.	for which she was first sent above by envy.
			
তাই তোমার ভালোর জন্যই আমার	112	 Ond’ io per lo tuo me’ penso e discerno	Therefore, I think and judge it best for you
পিছু নাও, আমি হব তোমার পাঞ্জেরি,		 che tu mi segui, e io sarò tua guida,	to follow me, and I shall guide you, taking
এখান থেকে নিয়ে যাব এক চিরস্থানে		 e trarrotti di qui per loco etterno,	you from this place through an eternal place,
			
যেখানে শুনবে তুমি নিরাশার কান্না,	115	 ove udirai le disperate strida,	where you shall hear the howls of desperation
দেখবে আদিম সব আত্মার বেদনা,		 vedrai li antichi spiriti dolenti,	and see the ancient spirits in their pain,
দ্বিতীয় মৃত্যুর তরে বিষম বিলাপ।		 ch’a la seconda morte ciascun grida;	as each of them laments his second death;
			
পরে দেখবে তাদের যারা অগ্নিকুণ্ডে	118	 e vederai color che son contenti	and you shall see those souls who are content
পুড়েও তুষ্ট, কারণ আশা করে কোনো		 nel foco, perché speran di venire	within the fire, for they hope to reach—
একদিন সুভগের দলে ভাগ পাবে।		 quando che sia a le beate genti.	whenever that may be-the blessed people.
			
এরো উপরে উঠতে চাইলে তোমার	121	 A le quai poi se tu vorrai salire,	If you would then ascend as high as these,
দিশারী হবে আমার চেয়ে যোগ্য আত্মা:		 anima fia a ciò più di me degna:	a soul more worthy than I am will guide you;
তোমাকে তার হাতে সঁপে বিদায় নিব।		 con lei ti lascerò nel mio partire;	I’ll leave you in her care when I depart,
			
কারণ যে মহারাজ উপরে থাকেন	124	 ché quello imperador che là sù regna,	because that Emperor who reigns above,
তার বিধান বিরোধী ছিলাম বলেই		 perch’ i’ fu’ ribellante a la sua legge,	since I have been rebellious to His law,
তার নগরে আমার অধিকার নেই।		 non vuol che ’n sua città per me si vegna.	will not allow me entry to His city.
			
সেখান থেকে রাজত্ব তাঁর সবখানে।	127	 In tutte parti impera e quivi regge;	He governs everywhere, but rules from there;
সেটা তাঁর রাজধানী, সুউচ্চ আরশ।		 quivi è la sua città e l’alto seggio:	there is His city, His high capital:
যাদের তা ছুঁতে দেন তাদের সৌভাগ্য!”		 oh felice colui cu’ ivi elegge!».	o happy those He chooses to be there!”
			
জবাবে বলছিলাম, “কবি, অনুরোধ	130	 E io a lui: «Poeta, io ti richeggio	And I replied: “O poet-by that God
করি আপনার অদেখা খোদার নামে,		 per quello Dio che tu non conoscesti,	whom you had never come to know—I beg you,
এই ক্ষতি ও সম্পাত থেকে মুক্ত হতে		 acciò ch’io fugga questo male e peggio,	that I may flee this evil and worse evils,
			
নিয়ে চলেন আমাকে এই সবখানে	133	 che tu mi meni là dov’or dicesti,	to lead me to the place of which you spoke,
যাতে দেখা পাই পিটারের ফটকের		 sì ch’io veggia la porta di san Pietro	that I may see the gateway of Saint Peter
আর আপনার বলা বেদনার্তদের।”		 e color cui tu fai cotanto mesti».	and those whom you describe as sorrowful.”
			
তিনি তখন আগান, পিছু নেই আমি।	136	 Allor si mosse, e io li tenni dietro.	Then he set out, and I moved on behind him.
