KMBA	#	Persian	Transliteration
কই গেল সেই কারিশমা, কোথায় সে দুরালাপ?		خود آن کِرِشمه کجا رفت و آن عِتاب کجا؟	ḵẖod ān kereshmeh kojā raft o ān ʿetāb kojā?
হাফিজের কাছে ঘুম বা শান্তি আশা করো না, দোস্ত,		قرار و خواب ز حافظ طمع مدار ای دوست	qarār o ḵẖwāb ze Ḥāfeẓ ṭamaʿ madār ey dūst
কিসের শান্তি, কিসের ধৈর্য, আর কোথায় খোয়াব?		قرار چیست صبوری کدام و خواب کجا؟	qarār chīst? ṣabūrī kodām? o ḵẖwāb kojā?
			
শিরাজের তুর্কি যদি দখল করে দিল আমার,	3	اگر آن تُرکِ شیرازی به‌‌ دست‌ آرَد دلِ ما را	agar ān turk-e shirāzī be-dast ārād del-e mā rā
বুখারা সমরকন্দ দিতাম হিন্দু তিলের জন্য তার।		به خال هِندویَش بَخشَم سَمَرقند و بُخارا را	be ḵẖāl-e hendūyash bakhsham Samarqand o Bukhārā rā
বাকি ওয়াইনটা ঢালো, সাকী, কারণ জান্নাতে পাব না		بده ساقی مِیِ باقی که در جَنَّت نخواهی یافت	bede sāqī mey-e bāqī ke dar jannat na-ḵẖwāhī yāft
মুসল্লার বাগান আর রুকনাবাদের পানির ধার।		کنارِ آبِ رُکناباد و گُل‌گَشتِ مُصَلّا را	kenār-e āb-e Roknābād o golgasht-e Moṣallā rā
হায়! দুরন্ত এই শহর-কাঁপানো রূপসীরা		فَغان! کاین لولیانِ شوخِ شیرین‌کارِ شهرآشوب	fagān! ke in lūliyān-e shūḵẖ-e shīrīn-kār-e shahr-āshūb
নেয় দিলের ধৈর্য যেভাবে তুর্কিরা নেয় খাবার।		چُنان بُردند صبر از دل که تُرکان خوانِ یَغما را	chenān burdand ṣabr az del ke turkān ḵẖwān-e yaḡmā rā
প্রিয়ার রূপ কাঙাল না আমাদের অপূর্ণ প্রেমের,		ز عشقِ ناتمامِ ما جمالِ یار مُستَغنی‌ است	ze ʿeshq-e nātamām-e mā jamāl-e yār mostaḡnī ast
সুন্দর মুখে লাগে না রং রেখা তিলের বাহার।		به آب و رنگ و خال و خط چه حاجت رویِ زیبا را؟	be āb o rang o ḵẖāl o ḵẖaṭ che ḥājat rūy-e zībā rā?
রোজ বাড়তে থাকা ইউসুফের রূপ দেখে বুঝেছি		مَن از آن حُسنِ روزاَفزون که یوسُف داشت دانستم	man az ān ḥosn-e rūz-afzūn ke Yūsuf dāsht dānestam
যে প্রেম জুলেখাকেও খোলায় ঘোমটার আঁধার।		که عشق از پردهٔ عِصمت بُرون آرَد زُلِیخا را	ke ʿeshq az parde-ye ʿeṣmat borūn ārād Zoleyḵẖā rā
আমাকে দোষ দাও বা অভিশাপ দাও, দোয়া করি,		اگر دشنام فرمایی و گَر نفرین دعا گویم	agar dashnām farmāyī o gar nafrīn doʿā gūyam
তিক্ত জবাব মানায় মধুর রুবি ঠোঁটে তোমার।		جوابِ تلخ می‌زیبَد لبِ لَعلِ شِکرخا را	javāb-e talḵẖ mī-zībad lab-e laʿl-e shekarkhā rā
নসিহত শোনো, জান, কারণ জানের চেয়ে প্রিয়		نصیحت گوش کن جانا که از جان دوست‌تر دارند	naṣīḥat gūsh kon jānā ke az jān dūst-tar dārand
ভাবে ভাগ্যবান তরুণেরা বিজ্ঞ বৃদ্ধের বিচার।		جوانانِ سعادتمند پندِ پیرِ دانا را	javānān-e saʿādatmand pand-e pīr-e dānā rā
গান বা ওয়াইনের কথা বলো, ভাগ্যের রহস্য না,		حَدیث از مُطرب و مِی گو و رازِ دَهر کمتر جو	ḥadīs az moṭreb o mey gū o rāz-e dahr kamtar jū
জ্ঞান দিয়ে কেউ পায়নি, পাবে না এ ধাঁধার কিনার।		که کس نَگشود و نَگشاید به حکمت این مُعمّا را	ke kas nagshūd o nagshāyad be ḥekmat īn moʿammā rā
গজল লিখেছ, মুক্তা গেঁথেছ, এবার গাও, হাফিজ,		غزل گفتی و دُر سُفتی بیا و خوش بخوان حافظ	ghazal goftī o dorr softeh biyā o ḵẖosh bekhān Ḥāfeẓ
যাতে স্বর্গ তোমার গানে পরায় কৃত্তিকার হার।		که بر نظمِ تو اَفشانَد فَلَک عِقد ثُریّا را	ke bar naẓm-e to afshānad falak ʿeqd-e Sorayyā rā
			
ভোরের হাওয়া, সুন্দর গেজেলকে বলো দয়া করে,	4	صبا به لُطف بگو آن غزالِ رَعنا را	ṣabā be loṭf begū ān ġazāl-e raʿnā rā
তার জন্য মরুতে পাহাড়ে তুমি আমাদের ছেড়ে।		که سَر به کوه و بیابان تو داده‌ای ما را	ke sar be kūh o biyābān to dādeh-ī mā rā
চিনির সেলার (তার জীবন দীর্ঘ হোক) কেন		شِکر فُروش که عُمرَش دراز باد چرا	shekhar forūsh ke ʿomrash derāz bād cherā
সে তোতার খোঁজ নেয় না যে চিনির জন্য মরে?		تَفَقُّدی نَکُنَد طوطیِ شِکرخا را؟	tafaqodī nakonad ṭūṭī-ye shekarkhā rā?
ও ফুল, রূপের গর্ব তোমাকে অনুমতি দেয় না যে		غرورِ حُسنت اجازَت مَگَر نداد اِی گُل	ġurūr-e ḥosnat ejāzat magar nadād ey gol
জানতে চাও না আন্দালিবের দশা প্রেমের ঘোরে?		که پُرسِشی نکُنی عَندَلیب شیدا را؟	ke porsašī nakonī ʿandalīb-e sheydā rā?
স্বভাব সৌজন্য দিয়ে দার্শনিকও জয় করা যায়,		به خُلق و لطف توان کرد صیدِ اهلِ نظر	be ḵẖolq o loṭf tavān kard ṣayd-e ahl-e naẓar
বোদ্ধা পাখি ধরা যায় না জাল আর ফাঁদের ঘেরে।		به بند و دام نگیرند مرغِ دانا را	be band o dām nagīrand morġ-e dānā rā
আমি জানি না কি কারণে চেনা কোনো চিহ্ন নাই		ندانم از چه سبب رنگِ آشنایی نیست	nadānam az che sabab rang-e āshenāʾī nīst
কালো চোখের চন্দ্রমুখীদের লম্বা শরীরে।		سَهی‌قَدانِ سیَه‌‌چشمِ ماه‌سیما را	sahī-qadān-e siyah-chashm-e māh-sīmā rā
যখন প্রিয়ার সাথে বসবে আর ওয়াইন খাবে,		چو با حبیب نِشینی و باده پِیمایی	cho bā ḥabīb neshīnī o bāde peymāyī
ভেবো সে প্রেমিকদের যারা বাতাসের সাথে ঘোরে।		به یاد دار مُحِبّانِ بادپیما را	be yād dār moḥebbān-e bādpeymā rā
তোমার রূপের কোনো দোষ বলি না এটুকু ছাড়া,		جُز این قَدَر نَتوان گفت در جَمالِ تو عیب	joz īn qadar natavān goft dar jamāl-e to ʿayb
নাই বিশ্বাস আর মায়া তোমার সুন্দর অধরে।		که وضع مِهر و وفا نیست رویِ زیبا را	ke ważʿ-e mehr o wafā nīst rūy-e zībā rā
আজব কি যদি আসমানে, হাফিজের কথামতো,		در آسمان نه عجب گَر به گفتهٔ حافظ	dar āsmān na ʿajab gar be gofte-ye Ḥāfeẓ
এমনকি যিশুও নাচে জাহরার গানের সুরে।		سُرودِ زُهره به رقص آورد مسیحا را	sorūd-e Zohra be raqṣ āvarad Masīḥā rā
			
গেলো আমার দিল, ও দিলদরিয়া, দোহাই খোদার!	5	دل می‌رود ز دستم صاحب‌دلان خدا را	del mī-ravad ze dastam sāḥeb-delān ḵẖodā rā
হায়, বুঝি ফাঁস হয়ে গেলো গোপন কথা আমার।		دردا که راز پنهان خواهد شد آشکارا	dardā ke rāz-e penhān ḵẖāhad shod āshkārā
ডুবন্ত নৌকার যাত্রী আমরা, জাগো হে ঝোড়ো হাওয়া,		کشتی‌شکستگانیم ای بادِ شُرطِه برخیز	keshtī-shekastegānīm ey bād-e shorṭe barkhīz
হয়তবা কোনো চেনা মুখের দেখা পাব আবার।		باشد که باز بینم دیدارِ آشنا را	bāshad ke bāz bīnam dīdar-e āshenā rā
এই দশ দিনের দুনিয়াদারি রূপকথা, জাদু;		ده‌روزه مِهرِ گردون افسانه است و افسون	dah-rūzeh mehr-e gardūn afsāneh ast o afsūn
বন্ধুকে ভালোবাসার ফুরসত রেখো, হে ইয়ার।		نیکی به جای یاران فرصت شمار یارا	nīkī be jāy-e yārān forsat shemār yārā
কাল রাতে বুলবুল ওয়াইন ও গোলাপের বৃত্তে:		در حلقهٔ گُل‌ و مُل خوش خواند دوش بلبل	dar ḥalqe-ye gol o mol ḵẖosh ḵẖwānd dūsh bolbol
'আনো ভোরের ওয়াইন, জাগো রে মাতালের ঝাড়!'		هاتِ الصَّبُوحَ هُبّوا یا ایُّها السُّکارا	hāt al-ṣabūḥa hubbū yā ayyuhā al-sukārā
সুস্বাস্থ্যের শুকরিয়া হিসেবে, ও দয়াল সাহেব,		ای صاحبِ کرامت شُکرانهٔ سلامت	ey sāḥeb-e kerāmat shokrāneh-ye salāmat
একটু খোঁজ নিও দুঃস্থ দরবেশের কি দরকার।		روزی تَفَقُّدی کن درویشِ بی‌نوا را	rūzī tafaqodī kon darvīsh-e bī-navā rā
দুই জাহানে আয়েশের তাফসির এ দুই শব্দে:		آسایشِ دو گیتی تفسیرِ این دو حرف است	āsāyesh-e do gītī tafsīr-e īn do ḥarf ast
দুশমনের সাথে ধৈর্য আর দোস্তের প্রতি উদার।		با دوستان مُرُوَت با دشمنان مُدارا	bā dūstān morowwat, bā doshmanān modārā
সুনামের গলিতে আমাদের যেতে দেয়নি কেউ,		در کویِ نیک‌نامی ما را گذر ندادند	dar kūy-e nīk-nāmī mā rā gozar nadādad
যাও ভাগ্য বদলাও এটা পছন্দ না হয় যার।		گر تو نمی‌پسندی تغییر کن قضا را	gar to nemī-pasandī taghyīr kon qazā rā
সুফিদের কাছে তিতা যে বস্তুর নাম 'উম্মে গুনা',		آن تَلخ‌وَش که صوفی اُم‌ُّالخَبائِثَش خواند	ān talḵẖ-vash ke ṣūfī omm al-ḵẖabāʾesash ḵẖwānad
আমি বলি অধরার চুমুর চেয়ে মধুর স্বাদ তার।		اَشهیٰ لَنا و اَحلیٰ مِن قُبلَةِ العَذارا	ash-hā lanā wa aḥlā min qublat al-ʿaẕārā
বিষাদের সময় খোঁজো আয়েশ নেশা ও মাস্তি,		هنگامِ تنگ‌دستی در عیش کوش و مستی	hengām-e tangdastī dar ʿeysh kūsh o mastī
কারণ ভিক্ষুককেও কারুন করে অস্তিত্বের সার।		کاین کیمیایِ هستی قارون کند گدا را	ke īn kīmiyā-ye hastī Qārūn konad gadā rā
গর্ব করো না, নিজের ঈর্ষায় পুড়বে মোমের মতো,		سرکش مشو که چون شمع از غیرتت بسوزد	sarkash masho ke chon shamʿ az ḡeyratat besūzad
যেখানে শক্ত পাথর মোম করে দেয় দিলবার।		دلبر که در کفِ او موم است سنگِ خارا	delbar ke dar kaf-e ū mūm ast sang-e ḵẖārā
ওয়াইনের গ্লাস হলো সিকান্দারের আয়না, তাকাও,		آیینهٔ سِکَندر جامِ مِی است بنگر	āyeneh-ye Sekandar jāme mey ast bengar
যাতে সে দেখায় তোমাকে কেমন মুলক দারা'র।		تا بر تو عرضه دارد احوالِ مُلکِ دارا	tā bar to ʿarzeh dārad aḥwāl-e molk-e Dārā
ফার্সি বলা রূপসীরা অন্যকে দান করে জীবন,		خوبان پارسی‌گو بخشندگانِ عمرند	ḵẖūbān-e pārsīgū bakhshandegān-e ʿomr-and
সাকী, মহান রিন্দের কাছে দাও এই সুখবর।		ساقی بده بشارت رندانِ پارسا را	sāqī bede bashārat rendān-e pārsā rā
হাফিজ স্বেচ্ছায় পরেনি ওয়াইনে রাঙানো খিরকা,		حافظ به خود نپوشید این خرقهٔ مِی‌ْآلود	Ḥāfeẓ be ḵẖod napūshīd īn ḵẖerqe-ye mey-ālūd
শুদ্ধ হৃদয়ের শেখ, মাফ করে দিও এই বার।		ای شیخِ پاک‌دامن معذور دار ما را	ey sheyḵẖ-e pākdāman maʿẓūr dār mā rā
			
সুলতানের দরবারে কে পৌঁছাবে এই দোয়া, হায়,	6	به مُلازِمانِ سلطان، که رساند این دعا را؟	be molāzemān-e solṭān, ke resānad īn doʿā rā?
যেন রাজ্যের শুকরিয়ায় গরিবকে না তাড়ায়?		که به شُکرِ پادشاهی، زِ نظر مَران گدا را	ke be shokr-e pādshāhī, ze naẓar marān gadā rā
শয়তান শত্রু থেকে খোদার কাছে পানাহ চাই,		ز رقیبِ دیوسیرت، به خدای خود پناهم	ze raqīb-e dīv-sīrat, be ḵẖodā-ye ḵẖod panāham
যদি না, হে খোদা, সেই উজ্জ্বল তারা হাত বাড়ায়।		مَگَر آن شهابِ ثاقِب مددی دهد، خدا را!	magar ān shahāb-e sāqeb madadī dahad, ḵẖodā rā!
কালো পাপড়ি যদি ইশারা করে রক্তের দিকে,		مُژِه‌یِ سیاهت اَرْ کرد به خونِ ما اشارت	mozhe-ye siyāhat ar kard be ḵẖūn-e mā eshārat
সাবধান থেকো, প্রিয়, ভুলো না তার প্রতারণায়।		ز فریبِ او بیندیش و غلط مکن، نگارا	ze farīb-e ū bīndīsh o ghalat makon, negārā
তোমার গালে পড়লে আলো দুনিয়ার দিল জ্বলে,		دلِ عالمی بِسوزی چُو عِذار بَرفُروزی	del-e ʿālamī besūzī cho ʿeẕār barforūzī
কি লাভ পাও তুমি যে একটুও গলো না দয়ায়?		تو از این چه سود داری، که نمی‌کنی مدارا؟	to az īn che sūd dārī, ke nemī-konī modārā?
সকালের বাতাস প্রেমিকের বার্তা বয়ে এনে		همه‌شب در این اُمیدم که نسیمِ صبحگاهی	hame-shab dar īn omīdam ke nasīm-e ṣobḥgāhī
প্রিয়াকে ছুঁয়ে দেবে সারা রাত থাকি এই আশায়।		به پیام آشنایان، بنوازد آشنا را	be payām-e āshenāyān, benavāzad āshenā rā
এ কেমন কেয়ামত দেখালে প্রেমিককে, ও জান?		چه قیامت است جانا، که به عاشقان نمودی؟	che qiyāmat ast jānā, ke be ʿāsheqān nemūdī?
মুখ দেখাও, জান দিল বলি তোমার রূপ দেখায়।		دل و جان فدای رویت، بِنَما عِذار ما را	del o jān fadā-ye rūyat, benamā ʿeẕār-e mā rā
ভোরে-ওঠা হাফিজকে এক চুমুক দাও, খোদার		به خدا، که جرعه‌ای دِه تو به حافظِ سحرخیز	be ḵẖodā, ke jorʿeʾī deh to be Ḥāfeẓ-e saḥarḵẖīz
দোহাই, যাতে সুফল পাও তার ভোরের দোয়ায়।		که دعایِ صبحگاهی، اثری کند شما را	ke doʿā-ye ṣobḥgāhī, asarī konad shomā rā
			
আসো, সুফি, কারণ পেয়ালা স্বচ্ছ আয়নার মতো,	7	صوفی بیا که آینه صافیست جام را	ṣūfī biyā ke āyeneh sāfīst jāme rā
যাতে দেখতে পাও রুবিরাঙা ওয়াইন স্বচ্ছ কত।		تا بنگری صفای مِی لِعْل‌فام را	tā bengarī ṣafā-ye mey-e laʿl-fām rā
পর্দার রহস্য খোঁজ করো মাতাল রিন্দের কাছে,		رازِ درونِ پرده زِ رندانِ مَست پُرس	rāz-e darūn-e parde ze rendān-e mast pors
উঁচু পদের জাহেদ জানে না এই হালের তত্ত্ব।		کاین حال نیست زاهدِ عالی‌مقام را	ke īn ḥāl nīst zāhed-e ʿālī-maqām rā
আনকা কারো শিকার হয় না, ফাঁদ গুটিয়ে নাও,		عَنقا شکارِ کَس نَشَوَد دام بازچین	ʿanqā shekār-e kas nashavad, dām bāzchīn
কারণ সেখানে সেই ফাঁদ শুধু বাতাসে আবৃত ।		کآنجا همیشه باد به دست است، دام را	ke ānjā hamīshe bād be dast ast dām rā
মজলিশে এক দুই গ্লাস পান করে চলে যাও,		در بَزمِ دُوْر، یک‌دو قدح درکش و برو	dar bazm-e dowr, yek-do qadaḥ darkesh o boro
অর্থাৎ আশা করো না মিলনের চিরস্থায়িত্ব।		یعنی طمع مَدار وصالِ مُدام را	yaʿnī ṭamaʿ madār veṣāl-e modām rā
ও দিল, যৌবন গেল, জীবন থেকে তুললে না ফুল,		ای دل شَباب رفت و نچیدی گلی زِ عِیش	ey del, shabāb raft o nachīdī golī ze ʿeysh
বৃদ্ধ শিরে আর নাম যশের পিছে ছুটবে কত?		پیرانه‌ سَر مکن هنری ننگ و نام را	pīrāneh-sar makon honarī nang o nām rā
বর্তমানের মজায় মন দাও, পানি শেষ হলে		در عِیشِ نقد کوش که چون آبخور نماند	dar ʿeysh-e naqḍ kūsh ke chon āb-ḵẖor namānad
আদমও রাখেনি শান্তির বাগান, হোক বেহেশ্ত।		آدمْ بِهِشتْ، روضهٔ دارُالسَلام را	Ādam be-hešt, rowżeh-ye dāru’l-salām rā
তোমার দোরগোড়ায় খিদমতের হক আমাদের,		ما را بر آستانِ تو بس حقِ خدمت است	mā rā bar āstān-e to bas ḥaqq-e ḵẖedmat ast
হে খাজা, করুণা করে আবার দেখো তোমার ভৃত্য।		ای خواجه بازبین به تَرَحُّم غُلام را	ey ḵẖwāja, bāzbīn be taraḥḥom gholām rā
হাফিজ গ্লাস ও ওয়াইনের মুরিদ, যাও, হে হাওয়া,		حافظ مریدِ جامِ مِی است ای صبا برو	Ḥāfeẓ morīd-e jāme mey ast, ey ṣabā boro
গ্লাসের শেখের কাছে নাও বান্দার বন্দেগি যত।		وز بنده بندگی برسان شیخِ جام را	o ze bande bandegī beresān sheyḵẖ-e jāme rā
			
সাকী, জেগে ওঠো, এই গ্লাস দাও ভরে,	8	ساقیا برخیز و دَردِه جام را	sāqiyā barkhīz o darde jāme rā
আর ধুলা ছোঁড়ো কালের দুঃখের শিরে।		خاک بر سر کن غمِ ایّام را	ḵẖāk bar sar kon ġam-e ayyām rā
মদের পেয়ালা দাও হাতে, যাতে আমি		ساغرِ مِی بر کَفَم نِه تا ز بَر	sāghar-e mey bar kafam neh tā ze bar
নীল জীর্ণ এ জামা ফেলতে পারি ছুঁড়ে।		بَرکِشَم این دلقِ اَزرَق‌فام را	barkesham īn delq-e azraq-fām rā
যদিও জ্ঞানীর কাছে আমাদের কুখ্যাতি,		گرچه بدنامی‌ست نزد عاقلان	garche badnāmīst nazd-e ʿāqelān
আমরা খ্যাতির পিছনে মরি না ঘুরে।		ما نمی‌خواهیم ننگ و نام را	mā nemī-ḵẖwāhīm nang o nām rā
ওয়াইন ঢালো, কত আর গর্বের বাতাস,		باده دَردِه چند از این بادِ غرور	bāde darde chand az īn bād-e ġurūr
ধুলা ছুঁড়ে দাও ব্যর্থ নফসের শিরে।		خاک بر سر، نفسِ نافرجام را	ḵẖāk bar sar, nafs-e nāfarjām rā
আমার দুখি বুকের দীর্ঘশ্বাসের		دودِ آهِ سینهٔ نالانِ من	dūd-e āh-e sīneh-ye nālān-e man
ধোঁয়ায় হতাশ বাচ্চারা গেছে পুড়ে।		سوخت این افسردگانِ خام را	sūkht īn afsordegān-e ḵẖām rā
আমার প্রেমে উন্মাদ দিলের প্রেমিক		محرمِ رازِ دلِ شیدایِ خود	moḥram-e rāz-e del-e sheydā-ye ḵẖod
দেখি না খাস বা আম জনতার ভিড়ে।		کس نمی‌بینم ز خاص و عام را	kas nemībīnam ze ḵẖāṣṣ o ʿām rā
এক স্নিগ্ধ প্রিয়ার খাতিরে আমি খুশি,		با دلارامی مرا خاطر خوش است	bā delārāmī marā ḵẖāṭer ḵẖosh ast
যে দিলের আরাম কেড়েছে একবারে।		کز دلم یک باره بُرد آرام را	kaz delam yekbāre bord ārām rā
সে বাগানে আর সাইপ্রেস দেখে না যে		ننگرد دیگر به سرو اندر چمن	nangarad dīgar be sarv andar chaman
দেখেছে সেই রুপালি সাইপ্রেসটারে।		هرکه دید آن سروِ سیم‌اندام را	har ke dīd ān sarv-e sīm-andām rā
সবুর করো, হাফিজ, রাত দিন কষ্ট,		صبر کن حافظ به سختی روز و شب	ṣabr kon Ḥāfeẓ be saḵẖtī-ye rūz o shab
একদিন তোমার কামনা যাবে পুরে।		عاقبت روزی بیابی کام را	ʿāqebat rūzī biyābī kām rā
			
যৌবনের জৌলুস আবার ফিরে পেয়েছে বাগান,	9	رونق عهد شباب است دگر بُستان را	rounaq-e ʿahd-e shabāb ast degar bostān rā
ফুলের সুখবর আনে সুরেলা বুলবুলের গান।		می‌رسد مژدهٔ گل بلبل خوش‌الحان را	mīrasad mozhde-ye gol bolbol-e ḵẖosh-alḥān rā
বাগানে তরুণদের কাছে গেলে, হাওয়া, আমাদের		ای صبا گر به جوانان چمن باز رَسی	ey ṣabā, gar be javānān-e chaman bāz rasī
সালাম যাতে পায় গোলাপ সাইপ্রেস রায়হান।		خدمت ما برسان سرو و گل و ریحان را	ḵẖedmat-e mā beresān sarv o gol o reyḥān rā
যদি ওয়াইন সেলার যুবক প্রকাশ করে রূপ		گر چنین جلوه کند مغبچهٔ باده‌فروش	gar chenīn jalveh konad maghbeche-ye bādeforūsh
চোখের পাপড়ি দিয়ে ঝাড়ু দিব বারের খিলান।		خاک‌روبِ درِ میخانه کنم مژگان را	ḵẖākrob-e dar-e meykhāneh konam mozhgān rā
ওহে, পিউর অম্বুরি চৌগান দিয়ে যে চালাও চাঁদ,		ای که بر مه کشی از عَنبرِ سارا چوگان	ey ke bar mah keshī az ʿanbar-e sāra chaugān
ইতিমধ্যে পথভ্রষ্ট মনে আর তুলো না তুফান।		مضطرب‌حال مگردان، من سرگردان را	moẓṭareb-ḥāl magardān man-e sargardān rā
গ্লাসের তলানি খাওয়া মাতালকে যারা ব্যঙ্গ করে		ترسم این قوم که بر دُردکشان می‌خندند	tarsam īn qowm ke bar dordkeshān mīḵẖandand
শেষে তারাই খারাবাতের বারে হারাবে ঈমান।		در سر کار خرابات کنند ایمان را	dar sar-e kār-e ḵẖarābāt konand īmān rā
বন্ধু করো খোদার মর্দকে, কারণ নূহের নৌকায়		یار مردان خدا باش که در کشتی نوح	yār-e mardān-e ḵẖodā bāsh ke dar keshtī-ye Nūḥ
এমন মাটি আছে যা ডুবাতে পারে না মহা-বান।		هست خاکی که به آبی نخرد طوفان را	hast ḵẖākī ke be ābī nakharad ṭūfān rā
আকাশের ঘর থেকে যাও, এখানে রুটি খুঁজো না,		برو از خانهٔ گردون به در و نان مطلب	boro az ḵẖāneh-ye gardūn be dar o nān maṭlab
সে কালো বাটির কারণে শেষে মরবে মেহমান।		کآن سیه‌کاسه در آخر بِکُشد مهمان را	ke ān siyah-kāseh dar āḵẖer bekoshed mehman rā
যার ঘুমানোর শেষ ঘর শুধু এক মুঠি ধুলা		هر که را خوابگه آخر مشتی خاک است	har ke rā ḵẖwābgah-e āḵẖer moshtī ḵẖāk ast
বলো সে কেন তুলতে চায় আকাশছোঁয়া দালান?		گو چه حاجت که به افلاک کشی ایوان را	gū che ḥājat ke be aflāk keshī īvān rā
