bn_word	persian_word	en_transliteration
ইয়ার	یار	yār
প্রেমিক	عاشق	'āsheq
শিরাজ	شیراز	shīrāz
প্রাণ	جان	jān
মিশর	مصر	Meṣr
কেনান	کنعان	Kan'ān
বুখারা	بخارا	Bukhārā
সমরকন্দ	سمرقند	Samarqand
তূর	طور	ṭūr
সীমা	حد	ḥadd
রূপসী	نگار	negār
সৌন্দর্য	جمال	jamāl
গালি	دشنام	dashnām
অভিশাপ	نفرین	nafrīn
নারকেল	نارگیل	nārgīl
চুমু	بوسه	būse
গলা	گلو	gelū
কাঁধ	شانه	shāne
গাল	رخ	rokh
পাহাড়	کوه	kūh
মরু	بیابان	biyābān
ঝরনা	چشمه	cheshmeh
সৈকত	ساحل	sāḥel
উপত্যকা	وادی	vādī
সাগর	دریا	daryā
তুর্কি	ترک	turk
হিন্দু	هندو	hendū
শবে	شبِ	shab-e
ক্ষুধা	گرسنگی	gorosnegī
তৃষ্ণা	تشنگی	teshnegī
মুরিদ	مرید	morīd
পীর	پیر	pīr
মাজি	مغ	mogh
সুরা	صراحی	ṣorāḥī
মিনা	مینا	mīnā
কদু	کدو	kadū
নেশা	مستی	mastī
হুঁশ	هوش	hosh
বোদ্ধা	عاقل	'āqel
ঘর	خانه	khāneh
বোতল	صراحی	ṣorāḥī
আংটি	خاتم	khātam
জাদু	افسون	afsūn
রূপকথা	افسانه	afsāneh
কবুতর	کبوتر	kabutar
গুণ	هنر	honar
জ্ঞান	حکمت	ḥekmat
রং	رنگ	rang
সুগন্ধ	عطر	'atr
